Symbol,Name,Basic Materials,Industry
A,Agilent Technologies Inc. Common Stock,Basic Materials,Electrical Products
AA,Alcoa Corporation Common Stock ,Basic Materials,Aluminum
AAC,Ares Acquisition Corporation Class A Ordinary Shares,Basic Materials,Metal Fabrications
AACG,ATA Creativity Global American Depositary Shares,Basic Materials,Educational Services
AACI,Armada Acquisition Corp. I Common Stock,Basic Materials,Blank Checks
AACIU,Armada Acquisition Corp. I Unit,Basic Materials,Blank Checks
AACIW,Armada Acquisition Corp. I Warrant,Basic Materials,Blank Checks
AACT,Ares Acquisition Corporation II Class A Ordinary Shares,Basic Materials,
AADI,Aadi Bioscience Inc. Common Stock,Basic Materials,Biotechnology: Pharmaceutical Preparations
AAIC,Arlington Asset Investment Corp Class A (new),Basic Materials,Real Estate Investment Trusts
AAIC^B,Arlington Asset Investment Corp 7.00% ,Basic Materials,
AAIC^C,Arlington Asset Investment Corp 8.250% Seies C Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock   ,Basic Materials,
AAIN,Arlington Asset Investment Corp 6.000% Senior Notes Due 2026,Basic Materials,Real Estate Investment Trusts
AAL,American Airlines Group Inc. Common Stock,Basic Materials,Air Freight/Delivery Services
AAM^A,Apollo Asset Management Inc. 6.375% Series A Preferred Stock,Basic Materials,
AAM^B,Apollo Asset Management Inc. 6.375% Series B Preferred Stock,Basic Materials,
AAMC,Altisource Asset Management Corp Com,Basic Materials,Real Estate
AAME,Atlantic American Corporation Common Stock,Basic Materials,Life Insurance
AAN,Aarons Holdings Company Inc. Common Stock ,Basic Materials,Diversified Commercial Services
AAOI,Applied Optoelectronics Inc. Common Stock,Basic Materials,Semiconductors
AAON,AAON Inc. Common Stock,Basic Materials,Industrial Machinery/Components
AAP,Advance Auto Parts Inc.,Basic Materials,Auto & Home Supply Stores
AAPL,Apple Inc. Common Stock,Basic Materials,Computer Manufacturing
AAT,American Assets Trust Inc. Common Stock,Basic Materials,Real Estate Investment Trusts
AAU,Almaden Minerals Ltd. Common Shares,Basic Materials,
AB,AllianceBernstein Holding L.P.  Units,Basic Materials,Investment Managers
ABBV,AbbVie Inc. Common Stock,Basic Materials,Biotechnology: Pharmaceutical Preparations
ABC,AmerisourceBergen Corporation Common Stock,Basic Materials,Other Pharmaceuticals
ABCB,Ameris Bancorp Common Stock,Basic Materials,Major Banks
ABCL,AbCellera Biologics Inc. Common Shares,Basic Materials,Pharmaceuticals and Biotechnology
ABCM,Abcam plc American Depositary Shares,Basic Materials,Biotechnology: Biological Products (No Diagnostic Substances)
ABEO,Abeona Therapeutics Inc. Common Stock,Basic Materials,Biotechnology: Pharmaceutical Preparations
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),Basic Materials,Beverages (Production/Distribution)
ABG,Asbury Automotive Group Inc Common Stock,Basic Materials,Other Specialty Stores
ABIO,ARCA biopharma Inc. Common Stock,Basic Materials,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ABL,Abacus Life Inc. Class A Common Stock,Basic Materials,Investment Managers
ABLLW,Abacus Life Inc. Warrant,Basic Materials,Investment Managers
ABM,ABM Industries Incorporated Common Stock,Basic Materials,Diversified Commercial Services
ABNB,Airbnb Inc. Class A Common Stock,Basic Materials,Hotels/Resorts
ABOS,Acumen Pharmaceuticals Inc. Common Stock,Basic Materials,Biotechnology: Pharmaceutical Preparations
ABR,Arbor Realty Trust Common Stock,Basic Materials,Real Estate Investment Trusts
ABR^D,Arbor Realty Trust 6.375% Series D Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per Share,Basic Materials,
ABR^E,Arbor Realty Trust 6.25% Series E Cumulative Redeemable Preferred Stock,Basic Materials,
ABR^F,Arbor Realty Trust 6.25% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per share,Basic Materials,
ABSI,Absci Corporation Common Stock,Basic Materials,Biotechnology: Pharmaceutical Preparations
ABST,Absolute Software Corporation Common Stock,Basic Materials,Computer Software: Prepackaged Software
ABT,Abbott Laboratories Common Stock,Basic Materials,Medical/Dental Instruments
ABUS,Arbutus Biopharma Corporation Common Stock,Basic Materials,Biotechnology: Pharmaceutical Preparations
ABVC,ABVC BioPharma Inc. Common Stock,Basic Materials,Biotechnology: Pharmaceutical Preparations
AC,Associated Capital Group Inc. Common Stock,Basic Materials,Investment Bankers/Brokers/Service
ACA,Arcosa Inc. Common Stock ,Basic Materials,Metal Fabrications
ACABU,Atlantic Coastal Acquisition Corp. II Unit,Basic Materials,Blank Checks
ACABW,Atlantic Coastal Acquisition Corp. II Warrant,Basic Materials,Blank Checks
ACAC,Acri Capital Acquisition Corporation Class A Common Stock,Basic Materials,Blank Checks
ACACU,Acri Capital Acquisition Corporation Unit,Basic Materials,Blank Checks
ACACW,Acri Capital Acquisition Corporation Warrant,Basic Materials,Blank Checks
ACAD,ACADIA Pharmaceuticals Inc. Common Stock,Basic Materials,Biotechnology: Pharmaceutical Preparations
ACAH,Atlantic Coastal Acquisition Corp. Class A Common Stock,Basic Materials,Blank Checks
ACAHU,Atlantic Coastal Acquisition Corp. Unit,Basic Materials,Blank Checks
ACAHW,Atlantic Coastal Acquisition Corp. Warrant,Basic Materials,Blank Checks
ACAQ,Athena Consumer Acquisition Corp. Class A Common Stock,Basic Materials,Blank Checks
